action 1: (3, 4) build type 1
actionProfitValue = 0.829435, totalProfit = 65.401514 => action 74: (5, 3) upgrade
actionProfitValue = 0.794166, totalProfit = 66.230949 => action 75: (5, 3) upgrade
actionProfitValue = 0.760398, totalProfit = 67.025115 => action 76: (5, 3) upgrade
actionProfitValue = 0.728064, totalProfit = 67.785512 => action 77: (5, 3) upgrade
actionProfitValue = 0.697108, totalProfit = 68.513577 => action 78: (5, 3) upgrade
actionProfitValue = 0.667465, totalProfit = 69.210685 => action 79: (3, 5) upgrade
actionProfitValue = 0.649825, totalProfit = 69.878149 => action 80: (1, 3) upgrade
actionProfitValue = 0.648617, totalProfit = 70.527974 => action 81: (1, 2) upgrade
actionProfitValue = 0.647110, totalProfit = 71.176591 => action 82: (3, 4) upgrade
actionProfitValue = 0.644616, totalProfit = 71.823701 => action 83: (5, 3) upgrade
actionProfitValue = 0.639084, totalProfit = 72.468317 => action 84: (1, 6) upgrade
actionProfitValue = 0.638737, totalProfit = 73.107401 => action 85: (3, 7) build type 4
actionProfitValue = 0.638278, totalProfit = 73.746137 => action 86: (3, 7) upgrade
actionProfitValue = 0.765933, totalProfit = 74.384415 => action 87: (3, 7) upgrade
actionProfitValue = 0.722092, totalProfit = 75.150348 => action 88: (3, 7) upgrade
actionProfitValue = 0.680761, totalProfit = 75.872440 => action 89: (3, 7) upgrade
actionProfitValue = 0.641794, totalProfit = 76.553201 => action 90: (1, 3) upgrade
actionProfitValue = 0.621037, totalProfit = 77.194995 => action 91: (3, 4) upgrade
actionProfitValue = 0.617207, totalProfit = 77.816031 => action 92: (5, 5) build type 2
actionProfitValue = 0.616074, totalProfit = 78.433238 => action 93: (3, 5) upgrade
actionProfitValue = 0.612629, totalProfit = 79.049312 => action 94: (5, 3) upgrade
actionProfitValue = 0.611910, totalProfit = 79.661941 => action 95: (1, 2) upgrade
actionProfitValue = 0.610069, totalProfit = 80.273851 => action 96: (3, 7) upgrade
actionProfitValue = 0.605058, totalProfit = 80.883920 => action 97: (1, 6) upgrade
actionProfitValue = 0.602175, totalProfit = 81.488978 => action 98: (1, 3) upgrade
actionProfitValue = 0.594630, totalProfit = 82.091152 => action 99: (5, 2) build type 2
actionProfitValue = 0.594134, totalProfit = 82.685783 => action 100: (3, 4) upgrade
actionProfitValue = 0.590963, totalProfit = 83.279916 => action 101: (5, 3) upgrade
actionProfitValue = 0.585891, totalProfit = 83.870879 => action 102: (3, 5) upgrade
actionProfitValue = 0.577563, totalProfit = 84.456771 => action 103: (1, 2) upgrade
actionProfitValue = 0.575149, totalProfit = 85.034333 => action 104: (3, 7) upgrade
actionProfitValue = 0.570425, totalProfit = 85.609483 => action 105: (1, 3) upgrade
actionProfitValue = 0.569346, totalProfit = 86.179908 => action 106: (1, 6) upgrade
actionProfitValue = 0.567708, totalProfit = 86.749254 => action 107: (3, 4) upgrade
actionProfitValue = 0.565834, totalProfit = 87.316962 => action 108: (5, 3) upgrade
actionProfitValue = 0.560979, totalProfit = 87.882796 => action 109: (3, 3) upgrade
actionProfitValue = 0.556206, totalProfit = 88.443775 => action 110: (1, 4) upgrade
actionProfitValue = 0.555158, totalProfit = 88.999982 => action 111: (1, 3) upgrade
actionProfitValue = 0.545137, totalProfit = 89.555140 => action 112: (5, 6) build type 2
actionProfitValue = 0.544652, totalProfit = 90.100277 => action 113: (3, 5) upgrade
actionProfitValue = 0.544504, totalProfit = 90.644929 => action 114: (1, 2) upgrade
actionProfitValue = 0.542228, totalProfit = 91.189434 => action 115: (3, 4) upgrade
actionProfitValue = 0.541775, totalProfit = 91.731662 => action 116: (3, 7) upgrade
actionProfitValue = 0.537775, totalProfit = 92.273437 => action 117: (5, 3) upgrade
actionProfitValue = 0.537125, totalProfit = 92.811212 => action 118: (1, 6) upgrade
actionProfitValue = 0.535212, totalProfit = 93.348338 => action 119: (5, 4) upgrade
actionProfitValue = 0.534994, totalProfit = 93.883550 => action 120: (3, 3) upgrade
actionProfitValue = 0.533734, totalProfit = 94.418544 => action 121: (6, 3) build type 2
actionProfitValue = 0.532950, totalProfit = 94.952277 => action 122: (1, 4) upgrade
actionProfitValue = 0.532728, totalProfit = 95.485227 => action 123: (1, 3) upgrade
actionProfitValue = 0.521957, totalProfit = 96.017955 => action 124: (6, 4) build type 2
actionProfitValue = 0.519194, totalProfit = 96.539912 => action 125: (3, 4) upgrade
actionProfitValue = 0.518738, totalProfit = 97.059106 => action 126: (5, 3) upgrade
actionProfitValue = 0.514286, totalProfit = 97.577844 => action 127: (1, 0) build type 4
actionProfitValue = 0.513727, totalProfit = 98.092130 => action 128: (1, 0) upgrade
actionProfitValue = 0.616473, totalProfit = 98.605857 => action 129: (1, 0) upgrade
actionProfitValue = 0.581186, totalProfit = 99.222330 => action 130: (1, 0) upgrade
actionProfitValue = 0.547920, totalProfit = 99.803516 => action 131: (1, 0) upgrade
actionProfitValue = 0.516557, totalProfit = 100.351437 => action 132: (3, 5) upgrade
actionProfitValue = 0.513337, totalProfit = 100.867994 => action 133: (3, 3) upgrade
actionProfitValue = 0.512168, totalProfit = 101.381330 => action 134: (1, 4) upgrade
actionProfitValue = 0.511204, totalProfit = 101.893499 => action 135: (1, 2) upgrade
actionProfitValue = 0.511191, totalProfit = 102.404702 => action 136: (3, 7) upgrade
actionProfitValue = 0.506993, totalProfit = 102.915894 => action 137: (5, 4) upgrade
actionProfitValue = 0.504955, totalProfit = 103.422886 => action 138: (1, 6) upgrade
actionProfitValue = 0.504577, totalProfit = 103.927841 => action 139: (1, 3) upgrade
actionProfitValue = 0.499763, totalProfit = 104.432418 => action 140: (3, 4) upgrade
actionProfitValue = 0.496681, totalProfit = 104.932181 => action 141: (5, 5) upgrade
actionProfitValue = 0.492859, totalProfit = 105.428862 => action 142: (5, 3) upgrade
actionProfitValue = 0.492418, totalProfit = 105.921721 => action 143: (3, 3) upgrade
actionProfitValue = 0.491475, totalProfit = 106.414140 => action 144: (1, 4) upgrade
actionProfitValue = 0.490549, totalProfit = 106.905614 => action 145: (3, 2) upgrade
actionProfitValue = 0.490391, totalProfit = 107.396163 => action 146: (1, 5) upgrade
actionProfitValue = 0.490368, totalProfit = 107.886554 => action 147: (1, 0) upgrade
actionProfitValue = 0.486990, totalProfit = 108.376922 => action 148: (3, 5) upgrade
actionProfitValue = 0.483955, totalProfit = 108.863912 => action 149: (3, 6) upgrade
actionProfitValue = 0.483391, totalProfit = 109.347867 => action 150: (1, 2) upgrade
actionProfitValue = 0.481932, totalProfit = 109.831258 => action 151: (6, 2) build type 2
actionProfitValue = 0.480211, totalProfit = 110.313190 => action 152: (1, 3) upgrade
actionProfitValue = 0.478513, totalProfit = 110.793401 => action 153: (3, 7) upgrade
actionProfitValue = 0.477974, totalProfit = 111.271914 => action 154: (5, 4) upgrade
actionProfitValue = 0.476601, totalProfit = 111.749887 => action 155: (1, 6) upgrade
actionProfitValue = 0.475696, totalProfit = 112.226489 => action 156: (3, 4) upgrade
actionProfitValue = 0.475561, totalProfit = 112.702185 => action 157: (5, 2) upgrade
actionProfitValue = 0.475307, totalProfit = 113.177746 => action 158: (3, 3) upgrade
actionProfitValue = 0.471618, totalProfit = 113.653053 => action 159: (5, 3) upgrade
actionProfitValue = 0.471481, totalProfit = 114.124671 => action 160: (1, 4) upgrade
actionProfitValue = 0.470729, totalProfit = 114.596152 => action 161: (3, 2) upgrade
actionProfitValue = 0.470577, totalProfit = 115.066881 => action 162: (1, 5) upgrade
actionProfitValue = 0.470555, totalProfit = 115.537459 => action 163: (5, 5) upgrade
actionProfitValue = 0.465184, totalProfit = 116.008013 => action 164: (3, 6) upgrade
actionProfitValue = 0.463860, totalProfit = 116.473198 => action 165: (6, 5) build type 2
actionProfitValue = 0.461994, totalProfit = 116.937058 => action 166: (1, 0) upgrade
actionProfitValue = 0.459115, totalProfit = 117.399052 => action 167: (5, 1) build type 2
actionProfitValue = 0.458392, totalProfit = 117.858166 => action 168: (1, 3) upgrade
actionProfitValue = 0.458166, totalProfit = 118.316558 => action 169: (3, 5) upgrade
actionProfitValue = 0.456253, totalProfit = 118.774724 => action 170: (3, 4) upgrade
actionProfitValue = 0.455340, totalProfit = 119.230977 => action 171: (1, 2) upgrade
actionProfitValue = 0.454346, totalProfit = 119.686318 => action 172: (3, 3) upgrade
actionProfitValue = 0.452562, totalProfit = 120.140664 => action 173: (1, 4) upgrade
actionProfitValue = 0.451709, totalProfit = 120.593226 => action 174: (3, 2) upgrade
actionProfitValue = 0.451564, totalProfit = 121.044935 => action 175: (1, 5) upgrade
actionProfitValue = 0.451543, totalProfit = 121.496500 => action 176: (5, 3) upgrade
actionProfitValue = 0.451433, totalProfit = 121.948042 => action 177: (3, 7) upgrade
actionProfitValue = 0.450614, totalProfit = 122.399475 => action 178: (5, 4) upgrade
actionProfitValue = 0.449839, totalProfit = 122.850089 => action 179: (5, 2) upgrade
actionProfitValue = 0.448618, totalProfit = 123.299929 => action 180: (1, 6) upgrade
actionProfitValue = 0.448467, totalProfit = 123.748547 => action 181: (3, 6) upgrade
actionProfitValue = 0.445118, totalProfit = 124.197014 => action 182: (5, 5) upgrade
actionProfitValue = 0.439065, totalProfit = 124.642132 => action 183: (1, 3) upgrade
actionProfitValue = 0.438684, totalProfit = 125.081197 => action 184: (3, 4) upgrade
actionProfitValue = 0.435980, totalProfit = 125.519882 => action 185: (5, 6) upgrade
actionProfitValue = 0.435721, totalProfit = 125.955862 => action 186: (3, 3) upgrade
actionProfitValue = 0.434277, totalProfit = 126.391583 => action 187: (1, 4) upgrade
actionProfitValue = 0.433459, totalProfit = 126.825860 => action 188: (3, 2) upgrade
actionProfitValue = 0.433319, totalProfit = 127.259319 => action 189: (1, 5) upgrade
actionProfitValue = 0.433298, totalProfit = 127.692638 => action 190: (1, 0) upgrade
actionProfitValue = 0.432836, totalProfit = 128.125936 => action 191: (5, 3) upgrade
actionProfitValue = 0.432237, totalProfit = 128.558772 => action 192: (3, 5) upgrade
actionProfitValue = 0.430137, totalProfit = 128.991009 => action 193: (1, 2) upgrade
actionProfitValue = 0.428340, totalProfit = 129.421147 => action 194: (3, 6) upgrade
actionProfitValue = 0.427133, totalProfit = 129.849486 => action 195: (6, 3) upgrade
actionProfitValue = 0.426360, totalProfit = 130.276620 => action 196: (3, 7) upgrade
actionProfitValue = 0.424822, totalProfit = 130.702979 => action 197: (5, 4) upgrade
actionProfitValue = 0.424580, totalProfit = 131.127801 => action 198: (5, 2) upgrade
actionProfitValue = 0.423429, totalProfit = 131.552381 => action 199: (1, 6) upgrade
actionProfitValue = 0.422798, totalProfit = 131.975810 => action 200: (1, 3) upgrade
actionProfitValue = 0.420032, totalProfit = 132.398607 => action 201: (3, 4) upgrade
actionProfitValue = 0.417440, totalProfit = 132.818639 => action 202: (3, 3) upgrade
actionProfitValue = 0.416730, totalProfit = 133.236079 => action 203: (1, 4) upgrade
actionProfitValue = 0.415945, totalProfit = 133.652810 => action 204: (3, 2) upgrade
actionProfitValue = 0.415811, totalProfit = 134.068754 => action 205: (1, 5) upgrade
actionProfitValue = 0.415792, totalProfit = 134.484565 => action 206: (6, 4) upgrade
actionProfitValue = 0.415355, totalProfit = 134.900357 => action 207: (5, 5) upgrade
actionProfitValue = 0.414410, totalProfit = 135.315712 => action 208: (5, 3) upgrade
actionProfitValue = 0.413858, totalProfit = 135.730123 => action 209: (1, 1) upgrade
actionProfitValue = 0.413742, totalProfit = 136.143981 => action 210: (3, 1) upgrade
actionProfitValue = 0.413698, totalProfit = 136.557723 => action 211: (6, 6) build type 2
actionProfitValue = 0.412470, totalProfit = 136.971421 => action 212: (5, 6) upgrade
actionProfitValue = 0.411256, totalProfit = 137.383891 => action 213: (3, 6) upgrade
actionProfitValue = 0.409876, totalProfit = 137.795147 => action 214: (1, 0) upgrade
actionProfitValue = 0.408061, totalProfit = 138.205023 => action 215: (7, 3) build type 2
actionProfitValue = 0.406812, totalProfit = 138.613084 => action 216: (3, 5) upgrade
actionProfitValue = 0.405517, totalProfit = 139.019895 => action 217: (1, 2) upgrade
actionProfitValue = 0.403822, totalProfit = 139.425412 => action 218: (6, 3) upgrade
actionProfitValue = 0.402420, totalProfit = 139.829235 => action 219: (1, 3) upgrade
actionProfitValue = 0.402172, totalProfit = 140.231655 => action 220: (5, 4) upgrade
actionProfitValue = 0.400740, totalProfit = 140.633827 => action 221: (3, 7) upgrade
actionProfitValue = 0.400505, totalProfit = 141.034567 => action 222: (3, 3) upgrade
actionProfitValue = 0.399893, totalProfit = 141.435073 => action 223: (3, 4) upgrade
actionProfitValue = 0.399691, totalProfit = 141.834965 => action 224: (5, 2) upgrade
actionProfitValue = 0.399652, totalProfit = 142.234656 => action 225: (1, 4) upgrade
actionProfitValue = 0.399139, totalProfit = 142.634309 => action 226: (3, 2) upgrade
actionProfitValue = 0.399011, totalProfit = 143.033448 => action 227: (1, 5) upgrade
actionProfitValue = 0.398992, totalProfit = 143.432459 => action 228: (1, 6) upgrade
actionProfitValue = 0.398597, totalProfit = 143.831450 => action 229: (1, 1) upgrade
actionProfitValue = 0.397025, totalProfit = 144.230048 => action 230: (3, 1) upgrade
actionProfitValue = 0.396983, totalProfit = 144.627073 => action 231: (5, 3) upgrade
actionProfitValue = 0.396261, totalProfit = 145.024056 => action 232: (3, 6) upgrade
actionProfitValue = 0.393315, totalProfit = 145.420317 => action 233: (6, 4) upgrade
actionProfitValue = 0.392034, totalProfit = 145.813631 => action 234: (5, 5) upgrade
actionProfitValue = 0.391141, totalProfit = 146.205665 => action 235: (6, 1) build type 5
actionProfitValue = 0.388268, totalProfit = 146.596806 => action 236: (6, 1) upgrade
actionProfitValue = 0.485335, totalProfit = 146.985075 => action 237: (6, 1) upgrade
actionProfitValue = 0.453433, totalProfit = 147.470410 => action 238: (6, 1) upgrade
actionProfitValue = 0.423628, totalProfit = 147.923843 => action 239: (6, 1) upgrade
actionProfitValue = 0.395782, totalProfit = 148.347471 => action 240: (5, 6) upgrade
actionProfitValue = 0.388164, totalProfit = 148.743253 => action 241: (1, 3) upgrade
actionProfitValue = 0.385070, totalProfit = 149.131416 => action 242: (1, 0) upgrade
actionProfitValue = 0.384704, totalProfit = 149.516486 => action 243: (6, 2) upgrade
actionProfitValue = 0.384169, totalProfit = 149.901190 => action 244: (3, 3) upgrade
actionProfitValue = 0.383735, totalProfit = 150.285359 => action 245: (1, 4) upgrade
actionProfitValue = 0.383013, totalProfit = 150.669095 => action 246: (3, 2) upgrade
actionProfitValue = 0.382889, totalProfit = 151.052107 => action 247: (1, 5) upgrade
actionProfitValue = 0.382871, totalProfit = 151.434997 => action 248: (3, 4) upgrade
actionProfitValue = 0.382695, totalProfit = 151.817868 => action 249: (3, 5) upgrade
actionProfitValue = 0.382306, totalProfit = 152.200563 => action 250: (7, 4) build type 2
actionProfitValue = 0.381021, totalProfit = 152.582869 => action 251: (1, 1) upgrade
actionProfitValue = 0.380984, totalProfit = 152.963890 => action 252: (3, 1) upgrade
actionProfitValue = 0.380944, totalProfit = 153.344874 => action 253: (1, 2) upgrade
actionProfitValue = 0.380707, totalProfit = 153.725818 => action 254: (6, 3) upgrade
actionProfitValue = 0.379824, totalProfit = 154.106525 => action 255: (5, 3) upgrade
actionProfitValue = 0.379412, totalProfit = 154.486349 => action 256: (5, 4) upgrade
actionProfitValue = 0.378239, totalProfit = 154.865760 => action 257: (3, 7) upgrade
actionProfitValue = 0.377581, totalProfit = 155.243999 => action 258: (3, 6) upgrade
actionProfitValue = 0.377423, totalProfit = 155.621580 => action 259: (5, 2) upgrade
actionProfitValue = 0.377212, totalProfit = 155.999003 => action 260: (1, 6) upgrade
actionProfitValue = 0.375782, totalProfit = 156.376215 => action 261: (5, 0) build type 2
actionProfitValue = 0.371038, totalProfit = 156.751997 => action 262: (6, 4) upgrade
actionProfitValue = 0.370020, totalProfit = 157.123035 => action 263: (6, 1) upgrade
actionProfitValue = 0.369766, totalProfit = 157.493055 => action 264: (6, 5) upgrade
actionProfitValue = 0.369595, totalProfit = 157.862821 => action 265: (5, 5) upgrade
actionProfitValue = 0.369179, totalProfit = 158.232416 => action 266: (1, 3) upgrade
actionProfitValue = 0.368698, totalProfit = 158.601595 => action 267: (3, 3) upgrade
actionProfitValue = 0.368231, totalProfit = 158.970293 => action 268: (1, 4) upgrade
actionProfitValue = 0.367537, totalProfit = 159.338524 => action 269: (3, 2) upgrade
actionProfitValue = 0.367419, totalProfit = 159.706060 => action 270: (1, 5) upgrade
actionProfitValue = 0.367401, totalProfit = 160.073479 => action 271: (5, 1) upgrade
actionProfitValue = 0.366713, totalProfit = 160.440880 => action 272: (3, 4) upgrade
actionProfitValue = 0.366423, totalProfit = 160.807594 => action 273: (5, 6) upgrade
actionProfitValue = 0.366368, totalProfit = 161.174017 => action 274: (1, 1) upgrade
actionProfitValue = 0.365590, totalProfit = 161.540384 => action 275: (3, 1) upgrade
actionProfitValue = 0.365552, totalProfit = 161.905974 => action 276: (5, 3) upgrade
actionProfitValue = 0.363279, totalProfit = 162.271526 => action 277: (1, 0) upgrade
actionProfitValue = 0.362684, totalProfit = 162.634805 => action 278: (6, 2) upgrade
actionProfitValue = 0.362597, totalProfit = 162.997489 => action 279: (3, 6) upgrade
actionProfitValue = 0.362174, totalProfit = 163.360086 => action 280: (3, 5) upgrade
actionProfitValue = 0.360422, totalProfit = 163.722260 => action 281: (1, 2) upgrade
actionProfitValue = 0.358917, totalProfit = 164.082682 => action 282: (6, 3) upgrade
actionProfitValue = 0.358496, totalProfit = 164.441599 => action 283: (5, 4) upgrade
actionProfitValue = 0.357001, totalProfit = 164.800095 => action 284: (5, 2) upgrade
actionProfitValue = 0.356031, totalProfit = 165.157095 => action 285: (3, 7) upgrade
actionProfitValue = 0.355968, totalProfit = 165.513126 => action 286: (1, 6) upgrade
actionProfitValue = 0.354272, totalProfit = 165.869095 => action 287: (7, 2) build type 2
actionProfitValue = 0.354114, totalProfit = 166.223367 => action 288: (3, 3) upgrade
actionProfitValue = 0.353353, totalProfit = 166.577481 => action 289: (1, 3) upgrade
actionProfitValue = 0.353020, totalProfit = 166.930834 => action 290: (1, 4) upgrade
actionProfitValue = 0.352687, totalProfit = 167.283854 => action 291: (3, 2) upgrade
actionProfitValue = 0.352574, totalProfit = 167.636541 => action 292: (1, 5) upgrade
actionProfitValue = 0.352557, totalProfit = 167.989115 => action 293: (3, 4) upgrade
actionProfitValue = 0.350843, totalProfit = 168.341672 => action 294: (1, 1) upgrade
actionProfitValue = 0.350819, totalProfit = 168.692515 => action 295: (3, 1) upgrade
actionProfitValue = 0.350782, totalProfit = 169.043334 => action 296: (7, 5) build type 2
actionProfitValue = 0.349588, totalProfit = 169.394116 => action 297: (6, 4) upgrade
actionProfitValue = 0.349243, totalProfit = 169.743704 => action 298: (6, 5) upgrade
actionProfitValue = 0.348842, totalProfit = 170.092947 => action 299: (5, 5) upgrade
actionProfitValue = 0.348449, totalProfit = 170.441790 => action 300: (5, 3) upgrade
actionProfitValue = 0.347831, totalProfit = 170.790239 => action 301: (3, 6) upgrade
actionProfitValue = 0.347541, totalProfit = 171.138070 => action 302: (5, 1) upgrade
actionProfitValue = 0.346123, totalProfit = 171.485611 => action 303: (5, 6) upgrade
actionProfitValue = 0.345796, totalProfit = 171.831734 => action 304: (6, 1) upgrade
actionProfitValue = 0.345461, totalProfit = 172.177531 => action 305: (6, 2) upgrade
actionProfitValue = 0.342238, totalProfit = 172.522991 => action 306: (1, 0) upgrade
actionProfitValue = 0.341924, totalProfit = 172.865229 => action 307: (3, 5) upgrade
actionProfitValue = 0.339793, totalProfit = 173.207153 => action 308: (3, 3) upgrade
actionProfitValue = 0.339076, totalProfit = 173.546946 => action 309: (1, 4) upgrade
actionProfitValue = 0.338437, totalProfit = 173.886022 => action 310: (1, 2) upgrade
actionProfitValue = 0.338373, totalProfit = 174.224459 => action 311: (6, 3) upgrade
actionProfitValue = 0.338367, totalProfit = 174.562832 => action 312: (3, 2) upgrade
actionProfitValue = 0.338328, totalProfit = 174.901198 => action 313: (1, 5) upgrade
actionProfitValue = 0.338312, totalProfit = 175.239527 => action 314: (1, 3) upgrade
actionProfitValue = 0.338009, totalProfit = 175.577839 => action 315: (5, 4) upgrade
actionProfitValue = 0.336954, totalProfit = 175.915848 => action 316: (1, 1) upgrade
actionProfitValue = 0.336645, totalProfit = 176.252802 => action 317: (3, 1) upgrade
actionProfitValue = 0.336609, totalProfit = 176.589447 => action 318: (5, 2) upgrade
actionProfitValue = 0.336040, totalProfit = 176.926056 => action 319: (3, 4) upgrade
actionProfitValue = 0.335924, totalProfit = 177.262096 => action 320: (3, 7) upgrade
actionProfitValue = 0.335594, totalProfit = 177.598021 => action 321: (1, 6) upgrade
actionProfitValue = 0.333994, totalProfit = 177.933614 => action 322: (3, 6) upgrade
actionProfitValue = 0.333499, totalProfit = 178.267608 => action 323: (5, 3) upgrade
actionProfitValue = 0.333041, totalProfit = 178.601107 => action 324: (6, 6) upgrade
actionProfitValue = 0.329976, totalProfit = 178.934148 => action 325: (6, 4) upgrade
actionProfitValue = 0.329634, totalProfit = 179.264124 => action 326: (6, 5) upgrade
actionProfitValue = 0.329255, totalProfit = 179.593758 => action 327: (5, 5) upgrade
actionProfitValue = 0.328884, totalProfit = 179.923012 => action 328: (5, 1) upgrade
actionProfitValue = 0.326688, totalProfit = 180.251896 => action 329: (5, 6) upgrade
actionProfitValue = 0.326379, totalProfit = 180.578584 => action 330: (7, 3) upgrade
actionProfitValue = 0.325449, totalProfit = 180.904964 => action 331: (3, 3) upgrade
actionProfitValue = 0.325376, totalProfit = 181.230413 => action 332: (1, 4) upgrade
actionProfitValue = 0.324763, totalProfit = 181.555789 => action 333: (3, 2) upgrade
